>>> 2025-10-19 01:45:54:985372:	Analysing files...

>>> 2025-10-19 01:45:54:985972:	Batchinator is writing to: /tmp/tmpke52ylzg

>>> 2025-10-19 01:45:54:986038:	Identifying possible target sites in: /home/axis/crackling_inputs/CXCL10_region_plus_exons.fa

>>> 2025-10-19 01:45:54:987268:		Identified 486 possible target sites in this file.

>>> 2025-10-19 01:45:54:987289:		Of these, 89 are not unique. These sites occur a total of 89 times.

>>> 2025-10-19 01:45:54:987298:		Removing 89 of 486 (18.313%) guides.

>>> 2025-10-19 01:45:54:987303:		397 distinct guides have been discovered so far.

>>> 2025-10-19 01:45:54:987309:		Extracted from 100.0% of input

>>> 2025-10-19 01:45:54:987449:	Processing batch file 1 of 1

>>> 2025-10-19 01:45:54:987803:		Loaded 397 guides

>>> 2025-10-19 01:45:54:987824:	CHOPCHOP - remove those without G in position 20.

>>> 2025-10-19 01:45:54:990172:		236 of 308 failed here.

>>> 2025-10-19 01:45:54:990193:	mm10db - remove all targets with a leading T (+) or trailing A (-).

>>> 2025-10-19 01:45:54:992564:		99 of 308 failed here.

>>> 2025-10-19 01:45:54:992579:	mm10db - remove based on AT percent.

>>> 2025-10-19 01:45:54:995067:		64 of 209 failed here.

>>> 2025-10-19 01:45:54:995080:	mm10db - remove all targets that contain TTTT.

>>> 2025-10-19 01:45:54:997439:		4 of 145 failed here.

>>> 2025-10-19 01:45:54:997454:	mm10db - check secondary structure.

>>> 2025-10-19 01:45:54:999913:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 01:45:54:999976:			Constructing the RNAfold input file.

>>> 2025-10-19 01:45:55:000084:			141 guides in this page.

>>> 2025-10-19 01:45:55:000102:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/RNAfold --noPS -j28 -i /home/axis/cracklingOutput/sampled_chr2/CXCL10_REGION_PLUS_85_AND_chr2_20251019_014554/CXCL10_REGION_PLUS_85_AND_chr2-rnafold-input.txt -o',)

>>> 2025-10-19 01:45:55:053987:	| Finished

>>> 2025-10-19 01:45:55:054125:			Starting to process the RNAfold results.

>>> 2025-10-19 01:45:55:056602:		44 of 141 failed here.

>>> 2025-10-19 01:45:55:056672:	Calculating mm10db final result.

>>> 2025-10-19 01:45:55:056791:		97 accepted.

>>> 2025-10-19 01:45:55:056798:		300 failed.

>>> 2025-10-19 01:45:55:056811:	sgRNAScorer2 - score using model.

/home/axis/miniconda3/envs/crackling/lib/python3.11/site-packages/sklearn/base.py:442: InconsistentVersionWarning: Trying to unpickle estimator SVC from version 0.24.2 when using version 1.7.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
>>> 2025-10-19 01:45:55:717806:		64 of 121 failed here.

>>> 2025-10-19 01:45:55:717893:	Evaluating efficiency via consensus approach.

>>> 2025-10-19 01:45:55:718418:		316 of 397 failed here.

>>> 2025-10-19 01:45:55:718440:	Bowtie analysis.

>>> 2025-10-19 01:45:55:718546:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 01:45:55:718655:		Constructing the Bowtie input file.

>>> 2025-10-19 01:45:55:718892:			81 guides in this page.

>>> 2025-10-19 01:45:55:718924:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/bowtie2 -x /home/axis/genomes/personalised/multi/GRCh38_sampled_chr2 -p 28 --reorder --no-hd -t -r -U /home/axis/cracklingOutput/sampled_chr2/CXCL10_REGION_PLUS_85_AND_chr2_20251019_014554/CXCL10_REGION_PLUS_85_AND_chr2-bowtie-input.txt -S /home/axis/cracklingOutput/sampled_chr2/CXCL10_REGION_PLUS_85_AND_chr2_20251019_014554/CXCL10_REGION_PLUS_85_AND_chr2-bowtie-output.txt',)

>>> 2025-10-19 01:45:59:164170:	| Finished

>>> 2025-10-19 01:45:59:164280:		Starting to process the Bowtie results.

>>> 2025-10-19 01:45:59:165015:		15 of 81 failed here.

>>> 2025-10-19 01:45:59:165037:	Beginning off-target scoring.

>>> 2025-10-19 01:45:59:165145:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 01:45:59:165210:			66 guides in this page.

>>> 2025-10-19 01:45:59:165232:	| Calling: ('/home/axis/bin/isslScoreOfftargets /home/axis/genomes/personalised/multi/GRCh38_sampled_chr2.issl /home/axis/cracklingOutput/sampled_chr2/CXCL10_REGION_PLUS_85_AND_chr2_20251019_014554/CXCL10_REGION_PLUS_85_AND_chr2-0-offtargetscore-input.txt 4 85 and > /home/axis/cracklingOutput/sampled_chr2/CXCL10_REGION_PLUS_85_AND_chr2_20251019_014554/CXCL10_REGION_PLUS_85_AND_chr2-0-offtargetscore-output.txt',)

>>> 2025-10-19 01:46:24:289463:	| Finished

>>> 2025-10-19 01:46:24:290034:		61 of 66 failed here.

>>> 2025-10-19 01:46:24:290057:	Writing results to file.

>>> 2025-10-19 01:46:24:291269:	Cleaning auxiliary files

>>> 2025-10-19 01:46:24:291445:	Done.

>>> 2025-10-19 01:46:24:291460:	397 guides evaluated.

>>> 2025-10-19 01:46:24:291474:	This batch ran in 01 00:00:29 (dd hh:mm:ss) or 29.304024696350098 seconds

>>> 2025-10-19 01:46:24:291482:	Total run time (dd hh:mm:ss) or 01 00:00:29 seconds

