>>> 2025-10-20 17:24:07:766262:	Analysing files...

>>> 2025-10-20 17:24:07:766729:	Batchinator is writing to: /tmp/tmpnzbr1gqd

>>> 2025-10-20 17:24:07:766793:	Identifying possible target sites in: /home/axis/crackling_inputs/CXCL10_region_plus_exons.fa

>>> 2025-10-20 17:24:07:767928:		Identified 486 possible target sites in this file.

>>> 2025-10-20 17:24:07:767944:		Of these, 89 are not unique. These sites occur a total of 89 times.

>>> 2025-10-20 17:24:07:767951:		Removing 89 of 486 (18.313%) guides.

>>> 2025-10-20 17:24:07:767956:		397 distinct guides have been discovered so far.

>>> 2025-10-20 17:24:07:767962:		Extracted from 100.0% of input

>>> 2025-10-20 17:24:07:768050:	Processing batch file 1 of 1

>>> 2025-10-20 17:24:07:768363:		Loaded 397 guides

>>> 2025-10-20 17:24:07:768379:	CHOPCHOP - remove those without G in position 20.

>>> 2025-10-20 17:24:07:770463:		236 of 308 failed here.

>>> 2025-10-20 17:24:07:770473:	mm10db - remove all targets with a leading T (+) or trailing A (-).

>>> 2025-10-20 17:24:07:772745:		99 of 308 failed here.

>>> 2025-10-20 17:24:07:772784:	mm10db - remove based on AT percent.

>>> 2025-10-20 17:24:07:775543:		64 of 209 failed here.

>>> 2025-10-20 17:24:07:775577:	mm10db - remove all targets that contain TTTT.

>>> 2025-10-20 17:24:07:777746:		4 of 145 failed here.

>>> 2025-10-20 17:24:07:777756:	mm10db - check secondary structure.

>>> 2025-10-20 17:24:07:779929:		Processing page 1 (5,000,000 per page).

>>> 2025-10-20 17:24:07:779970:			Constructing the RNAfold input file.

>>> 2025-10-20 17:24:07:780104:			141 guides in this page.

>>> 2025-10-20 17:24:07:780124:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/RNAfold --noPS -j28 -i /home/axis/cracklingOutput/sampled_chr1/CXCL10_RELAX_70_AVGchr1_20251020_172407/CXCL10_RELAX_70_AVGchr1-rnafold-input.txt -o',)

>>> 2025-10-20 17:24:07:822970:	| Finished

>>> 2025-10-20 17:24:07:823072:			Starting to process the RNAfold results.

>>> 2025-10-20 17:24:07:824728:		44 of 141 failed here.

>>> 2025-10-20 17:24:07:824761:	Calculating mm10db final result.

>>> 2025-10-20 17:24:07:824847:		97 accepted.

>>> 2025-10-20 17:24:07:824852:		300 failed.

>>> 2025-10-20 17:24:07:824860:	sgRNAScorer2 - score using model.

/home/axis/miniconda3/envs/crackling/lib/python3.11/site-packages/sklearn/base.py:442: InconsistentVersionWarning: Trying to unpickle estimator SVC from version 0.24.2 when using version 1.7.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
>>> 2025-10-20 17:24:08:399399:		64 of 121 failed here.

>>> 2025-10-20 17:24:08:399451:	Evaluating efficiency via consensus approach.

>>> 2025-10-20 17:24:08:399864:		316 of 397 failed here.

>>> 2025-10-20 17:24:08:399876:	Bowtie analysis.

>>> 2025-10-20 17:24:08:399987:		Processing page 1 (5,000,000 per page).

>>> 2025-10-20 17:24:08:400023:		Constructing the Bowtie input file.

>>> 2025-10-20 17:24:08:400235:			81 guides in this page.

>>> 2025-10-20 17:24:08:400260:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/bowtie2 -x /home/axis/genomes/personalised/multi/GRCh38_sampled_chr1 -p 28 --reorder --no-hd -t -r -U /home/axis/cracklingOutput/sampled_chr1/CXCL10_RELAX_70_AVGchr1_20251020_172407/CXCL10_RELAX_70_AVGchr1-bowtie-input.txt -S /home/axis/cracklingOutput/sampled_chr1/CXCL10_RELAX_70_AVGchr1_20251020_172407/CXCL10_RELAX_70_AVGchr1-bowtie-output.txt',)

>>> 2025-10-20 17:24:11:376652:	| Finished

>>> 2025-10-20 17:24:11:376713:		Starting to process the Bowtie results.

>>> 2025-10-20 17:24:11:377422:		15 of 81 failed here.

>>> 2025-10-20 17:24:11:377452:	Beginning off-target scoring.

>>> 2025-10-20 17:24:11:377553:		Processing page 1 (5,000,000 per page).

>>> 2025-10-20 17:24:11:377640:			66 guides in this page.

>>> 2025-10-20 17:24:11:377667:	| Calling: ('/home/axis/bin/isslScoreOfftargets /home/axis/genomes/personalised/multi/GRCh38_sampled_chr1.issl /home/axis/cracklingOutput/sampled_chr1/CXCL10_RELAX_70_AVGchr1_20251020_172407/CXCL10_RELAX_70_AVGchr1-0-offtargetscore-input.txt 4 50 avg > /home/axis/cracklingOutput/sampled_chr1/CXCL10_RELAX_70_AVGchr1_20251020_172407/CXCL10_RELAX_70_AVGchr1-0-offtargetscore-output.txt',)

>>> 2025-10-20 17:24:28:469345:	| Finished

>>> 2025-10-20 17:24:28:479266:		11 of 66 failed here.

>>> 2025-10-20 17:24:28:479298:	Writing results to file.

>>> 2025-10-20 17:24:28:480562:	Cleaning auxiliary files

>>> 2025-10-20 17:24:28:480749:	Done.

>>> 2025-10-20 17:24:28:480762:	397 guides evaluated.

>>> 2025-10-20 17:24:28:480775:	This batch ran in 01 00:00:20 (dd hh:mm:ss) or 20.71272587776184 seconds

>>> 2025-10-20 17:24:28:480784:	Total run time (dd hh:mm:ss) or 01 00:00:20 seconds

