>>> 2025-10-19 21:36:16:964323:	Analysing files...

>>> 2025-10-19 21:36:16:964796:	Batchinator is writing to: /tmp/tmp4ysl9qen

>>> 2025-10-19 21:36:16:964844:	Identifying possible target sites in: /home/axis/crackling_inputs/IFI44L_region_plus_exons.fa

>>> 2025-10-19 21:36:16:970636:		Identified 3,045 possible target sites in this file.

>>> 2025-10-19 21:36:16:970661:		Of these, 724 are not unique. These sites occur a total of 980 times.

>>> 2025-10-19 21:36:16:970670:		Removing 980 of 3,045 (32.184%) guides.

>>> 2025-10-19 21:36:16:970674:		2,065 distinct guides have been discovered so far.

>>> 2025-10-19 21:36:16:970680:		Extracted from 100.0% of input

>>> 2025-10-19 21:36:16:970882:	Processing batch file 1 of 1

>>> 2025-10-19 21:36:16:972926:		Loaded 2,065 guides

>>> 2025-10-19 21:36:16:972957:	CHOPCHOP - remove those without G in position 20.

>>> 2025-10-19 21:36:16:984495:		1,072 of 1,341 failed here.

>>> 2025-10-19 21:36:16:984566:	mm10db - remove all targets with a leading T (+) or trailing A (-).

>>> 2025-10-19 21:36:16:995961:		416 of 1,341 failed here.

>>> 2025-10-19 21:36:16:996027:	mm10db - remove based on AT percent.

>>> 2025-10-19 21:36:17:008010:		286 of 925 failed here.

>>> 2025-10-19 21:36:17:008036:	mm10db - remove all targets that contain TTTT.

>>> 2025-10-19 21:36:17:019432:		47 of 639 failed here.

>>> 2025-10-19 21:36:17:019491:	mm10db - check secondary structure.

>>> 2025-10-19 21:36:17:031016:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 21:36:17:031096:			Constructing the RNAfold input file.

>>> 2025-10-19 21:36:17:031317:			592 guides in this page.

>>> 2025-10-19 21:36:17:031339:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/RNAfold --noPS -j28 -i /home/axis/cracklingOutput/sampled_chr2/IFI44L_REGION_PLUS_85_AND_chr2_20251019_213616/IFI44L_REGION_PLUS_85_AND_chr2-rnafold-input.txt -o',)

>>> 2025-10-19 21:36:17:177454:	| Finished

>>> 2025-10-19 21:36:17:177574:			Starting to process the RNAfold results.

>>> 2025-10-19 21:36:17:181978:		217 of 592 failed here.

>>> 2025-10-19 21:36:17:182036:	Calculating mm10db final result.

>>> 2025-10-19 21:36:17:182426:		375 accepted.

>>> 2025-10-19 21:36:17:182433:		1690 failed.

>>> 2025-10-19 21:36:17:182444:	sgRNAScorer2 - score using model.

/home/axis/miniconda3/envs/crackling/lib/python3.11/site-packages/sklearn/base.py:442: InconsistentVersionWarning: Trying to unpickle estimator SVC from version 0.24.2 when using version 1.7.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
>>> 2025-10-19 21:36:17:763576:		292 of 488 failed here.

>>> 2025-10-19 21:36:17:763634:	Evaluating efficiency via consensus approach.

>>> 2025-10-19 21:36:17:765820:		1,791 of 2,065 failed here.

>>> 2025-10-19 21:36:17:765855:	Bowtie analysis.

>>> 2025-10-19 21:36:17:766224:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 21:36:17:766264:		Constructing the Bowtie input file.

>>> 2025-10-19 21:36:17:766810:			274 guides in this page.

>>> 2025-10-19 21:36:17:766840:	| Calling: ('/home/axis/miniconda3/envs/crackling/bin/bowtie2 -x /home/axis/genomes/personalised/multi/GRCh38_sampled_chr2 -p 28 --reorder --no-hd -t -r -U /home/axis/cracklingOutput/sampled_chr2/IFI44L_REGION_PLUS_85_AND_chr2_20251019_213616/IFI44L_REGION_PLUS_85_AND_chr2-bowtie-input.txt -S /home/axis/cracklingOutput/sampled_chr2/IFI44L_REGION_PLUS_85_AND_chr2_20251019_213616/IFI44L_REGION_PLUS_85_AND_chr2-bowtie-output.txt',)

>>> 2025-10-19 21:36:20:841604:	| Finished

>>> 2025-10-19 21:36:20:841666:		Starting to process the Bowtie results.

>>> 2025-10-19 21:36:20:843412:		39 of 274 failed here.

>>> 2025-10-19 21:36:20:843446:	Beginning off-target scoring.

>>> 2025-10-19 21:36:20:843861:		Processing page 1 (5,000,000 per page).

>>> 2025-10-19 21:36:20:844098:			235 guides in this page.

>>> 2025-10-19 21:36:20:844141:	| Calling: ('/home/axis/bin/isslScoreOfftargets /home/axis/genomes/personalised/multi/GRCh38_sampled_chr2.issl /home/axis/cracklingOutput/sampled_chr2/IFI44L_REGION_PLUS_85_AND_chr2_20251019_213616/IFI44L_REGION_PLUS_85_AND_chr2-0-offtargetscore-input.txt 4 85 and > /home/axis/cracklingOutput/sampled_chr2/IFI44L_REGION_PLUS_85_AND_chr2_20251019_213616/IFI44L_REGION_PLUS_85_AND_chr2-0-offtargetscore-output.txt',)

>>> 2025-10-19 21:36:36:357415:	| Finished

>>> 2025-10-19 21:36:36:358286:		208 of 235 failed here.

>>> 2025-10-19 21:36:36:358310:	Writing results to file.

>>> 2025-10-19 21:36:36:363822:	Cleaning auxiliary files

>>> 2025-10-19 21:36:36:364003:	Done.

>>> 2025-10-19 21:36:36:364014:	2065 guides evaluated.

>>> 2025-10-19 21:36:36:364028:	This batch ran in 01 00:00:19 (dd hh:mm:ss) or 19.393146991729736 seconds

>>> 2025-10-19 21:36:36:364037:	Total run time (dd hh:mm:ss) or 01 00:00:19 seconds

